Constellation,Star Name,RA (hh:mm:ss),Dec (dd:mm:ss),Magnitude,Spectral Type,Binary / Cluster Membership,Pitch_Hz,Pan,Loudness,Timbre,Extra_Layers,Mood_Tag,File,"Mythic Identity Summary 
Constellation Mythic Story",Emotion Code,Tempo (BPM),Suggested Instrument Set
Orion,Betelgeuse,05:55:10,+07:24:25.4,0.42,M2Iab,Single (supergiant),382.78,-0.082,0.755,dark_soft,1,neutral,Betelgeuse,A proud yet fearless hunter placed among the stars after his fateful encounter with the scorpion.,Courage + Tension,110–130,"Brass ensemble, driving strings, bright synth lead, light percussion"
,Rigel,05:14:32,-08:12:06,0.13,B8Ia,Multiple / multiple-star system,369.02,0.091,0.789,bright_sharp,3,neutral,,,,,
,Bellatrix,05:25:08,+06:20:58.7,1.64,B2III,Single (no confirmed companion),372.37,-0.071,0.595,bright_sharp,1,neutral,,,,,
,Alnilam,05:36:13,-01:12:07,1.7,B0Ia,Single (supergiant),375.81,0.015,0.589,bright_sharp,1,neutral,,,,,
,Alnitak,05:40:46,-01:56:33,1.77,O9.7Ib,Multiple (triple),376.18,0.022,0.581,bright_sharp,3,neutral,,,,,
Scorpius,Antares,16:29:24,-26:25:55,1.09,M1Ib / M1.5Iab-Ib,Binary (Antares A + B),670.46,0.293,0.655,dark_soft,2,neutral,,"The celestial scorpion sent to defeat Orion, symbolizing danger, retribution, and cosmic warning.",Danger / Threat,80–110,"Low strings, dark brass, deep percussion, subtle distorted pads"
,Shaula (λ Sco),17:33:37,-37:06:14,1.62,B2IV (or B2IV + companions),Multiple (),698.4,0.412,0.601,bright_sharp,3,neutral,,,,,
,Sargas,16:52:21,-42:21:43,1.86,F1Ib / F1II,Single (or no confirmed multiple components),678.2,0.469,0.574,clean,1,neutral,,,,,
,Dschubba (δ Sco),16:00:20,-22:37:19,2.29,B0.2IV,Single (or binary; no bright known companion),660.36,0.251,0.526,bright_sharp,1,neutral,,,,,
Leo,Regulus,10:08:22,+11:58:02.0,1.35,B7V,Multiple (Regulus is a multiple system),502.43,-0.133,0.636,bright_sharp,3,neutral,,"The mighty Nemean Lion, conquered by Hercules, representing power, pride, and royal authority.",Pride,110–130,"Horns, bold brass, toms, powerful pads"
,Denebola,11:49:04,+14:34:19.3,2.14,A3V,Single (main-sequence),548.89,-0.162,0.538,clean,1,neutral,,,,,
,Algieba (γ Leo),10:19:58,+19:50:30.4,2.01,K1III,Binary (part of a double star system),506.11,-0.22,0.552,warm,2,neutral,,,,,
,Zosma,11:14:06,+20:31:25.9,2.56,A4V,Single (no known companion),537.62,-0.228,0.503,clean,1,neutral,,,,,
